"arc_length","alpha.water","p_rgh","P","S0"
0,0.00000000e+00,1.08000500e+03,1.07552036e+03,4.14538160e-41
5e-06,-1.68438478e-29,1.08001904e+03,1.07552036e+03,4.14538160e-41
1e-05,-3.36876955e-29,1.08003296e+03,1.07552036e+03,4.14538160e-41
1.5e-05,-5.05315448e-29,1.08004700e+03,1.07552036e+03,4.14538160e-41
2e-05,-6.73753910e-29,1.08006104e+03,1.07552036e+03,4.14538160e-41
2.5e-05,-8.42192373e-29,1.08007495e+03,1.07552036e+03,4.14538160e-41
3e-05,-1.01063090e-28,1.08008899e+03,1.07402036e+03,1.24361448e-40
3.5e-05,-1.17906936e-28,1.08010303e+03,1.07402036e+03,1.24361448e-40
4e-05,-1.34750782e-28,1.08011707e+03,1.07402036e+03,1.24361448e-40
4.5e-05,-1.51594628e-28,1.08013098e+03,1.07402036e+03,1.24361448e-40
5e-05,-1.68438475e-28,1.08014502e+03,1.07402036e+03,1.24361448e-40
5.5e-05,-2.43971581e-28,1.08007996e+03,1.07252036e+03,3.73084344e-40
6e-05,-3.19504652e-28,1.08001501e+03,1.07252036e+03,3.73084344e-40
6.5e-05,-3.95037746e-28,1.07994995e+03,1.07252036e+03,3.73084344e-40
7e-05,-4.70570841e-28,1.07988501e+03,1.07252036e+03,3.73084344e-40
7.5e-05,-5.46103984e-28,1.07981995e+03,1.07252036e+03,3.73084344e-40
8e-05,-6.21636982e-28,1.07975500e+03,1.07102036e+03,1.11925303e-39
8.5e-05,-6.97170077e-28,1.07968994e+03,1.07102036e+03,1.11925303e-39
9e-05,-7.72703220e-28,1.07962500e+03,1.07102036e+03,1.11925303e-39
9.5e-05,-8.48236266e-28,1.07955994e+03,1.07102036e+03,1.11925303e-39
0.0001,-9.23769313e-28,1.07949500e+03,1.07102036e+03,1.11925303e-39
0.000105,-1.11473961e-27,1.07924622e+03,1.06952036e+03,3.35775910e-39
0.00011,-1.30570992e-27,1.07899756e+03,1.06952036e+03,3.35775910e-39
0.000115,-1.49668012e-27,1.07874878e+03,1.06952036e+03,3.35775910e-39
