"arc_length","alpha.water","p_rgh"
0,0.00000000e+00,2.77786682e+02
5e-06,-9.35448812e-31,2.77851685e+02
1e-05,-1.87089762e-30,2.77916656e+02
1.5e-05,-2.80634644e-30,2.77981659e+02
2e-05,-3.74179525e-30,2.78046631e+02
2.5e-05,-4.67724387e-30,2.78111633e+02
3e-05,-5.61269287e-30,2.78176605e+02
3.5e-05,-6.54814150e-30,2.78241608e+02
4e-05,-7.48359050e-30,2.78306580e+02
4.5e-05,-8.41903950e-30,2.78371582e+02
5e-05,-9.35448775e-30,2.78436554e+02
5.5e-05,-1.19220698e-29,2.78489136e+02
6e-05,-1.44896497e-29,2.78541718e+02
6.5e-05,-1.70572318e-29,2.78594299e+02
7e-05,-1.96248124e-29,2.78646881e+02
7.5e-05,-2.21923914e-29,2.78699463e+02
8e-05,-2.47599720e-29,2.78752045e+02
8.5e-05,-2.73275556e-29,2.78804626e+02
9e-05,-2.98951362e-29,2.78857208e+02
9.5e-05,-3.24627138e-29,2.78909760e+02
0.0001,-3.50302944e-29,2.78962341e+02
0.000105,-1.14400239e-28,2.78847015e+02
0.00011,-1.93770195e-28,2.78731659e+02
0.000115,-2.73140031e-28,2.78616302e+02
0.00012,-3.52509963e-28,2.78500946e+02
0.000125,-4.31879823e-28,2.78385590e+02
0.00013,-5.11249852e-28,2.78270233e+02
0.000135,-5.90619688e-28,2.78154907e+02
0.00014,-6.69989765e-28,2.78039551e+02
0.000145,-7.49359601e-28,2.77924194e+02
0.00015,-8.28719470e-28,2.77808838e+02
0.000155,-4.33594777e-27,2.77559113e+02
0.00016,-7.84316635e-27,2.77309387e+02
0.000165,-1.13503842e-26,2.77059662e+02
0.00017,-1.48576127e-26,2.76809937e+02
0.000175,-1.83648313e-26,2.76560211e+02
0.00018,-2.18720591e-26,2.76310486e+02
0.000185,-2.53792777e-26,2.76060760e+02
0.00019,-2.88864963e-26,2.75811035e+02
0.000195,-3.23937257e-26,2.75561310e+02
0.0002,-3.59009427e-26,2.75311584e+02
0.000205,-7.67138942e-26,2.75000824e+02
0.00021,-1.17526963e-25,2.74690094e+02
0.000215,-1.58339914e-25,2.74379333e+02
0.00022,-1.99152989e-25,2.74068573e+02
0.000225,-2.39965941e-25,2.73757812e+02
0.00023,-2.80778892e-25,2.73447052e+02
0.000235,-3.21591967e-25,2.73136292e+02
0.00024,-3.62404919e-25,2.72825531e+02
0.000245,-4.03217969e-25,2.72514771e+02
0.00025,-4.44029836e-25,2.72204010e+02
0.000255,-6.54767913e-25,2.71870483e+02
0.00026,-8.65506039e-25,2.71536926e+02
0.000265,-1.07624293e-24,2.71203400e+02
0.00027,-1.28698101e-24,2.70869843e+02
0.000275,-1.49771919e-24,2.70536316e+02
0.00028,-1.70845736e-24,2.70202759e+02
0.000285,-1.91919406e-24,2.69869232e+02
0.00029,-2.12993233e-24,2.69535675e+02
0.000295,-2.34067041e-24,2.69202148e+02
0.0003,-2.55140474e-24,2.68868591e+02
0.000305,-3.19384478e-24,2.68529602e+02
0.00031,-3.83628462e-24,2.68190582e+02
0.000315,-4.47872071e-24,2.67851593e+02
0.00032,-5.12116075e-24,2.67512573e+02
0.000325,-5.76360079e-24,2.67173584e+02
0.00033,-6.40603688e-24,2.66834564e+02
0.000335,-7.04847692e-24,2.66495544e+02
0.00034,-7.69091735e-24,2.66156555e+02
0.000345,-8.33335305e-24,2.65817535e+02
0.00035,-8.97579349e-24,2.65478546e+02
0.000355,-1.03375362e-23,2.65142365e+02
0.00036,-1.16992798e-23,2.64806152e+02
0.000365,-1.30610146e-23,2.64469971e+02
0.00037,-1.44227581e-23,2.64133789e+02
0.000375,-1.57845009e-23,2.63797607e+02
0.00038,-1.71462357e-23,2.63461395e+02
0.000385,-1.85079800e-23,2.63125214e+02
0.00039,-1.98697228e-23,2.62789032e+02
0.000395,-2.12314576e-23,2.62452850e+02
0.0004,-2.25932004e-23,2.62116669e+02
0.000405,-2.48351999e-23,2.61786621e+02
0.00041,-2.70771867e-23,2.61456573e+02
0.000415,-2.93191862e-23,2.61126526e+02
0.00042,-3.15611857e-23,2.60796509e+02
0.000425,-3.38031726e-23,2.60466461e+02
0.00043,-3.60451721e-23,2.60136414e+02
0.000435,-3.82871716e-23,2.59806366e+02
0.00044,-4.05291710e-23,2.59476318e+02
0.000445,-4.27711579e-23,2.59146301e+02
0.00045,-4.50131574e-23,2.58816254e+02
0.000455,-4.81269239e-23,2.58492981e+02
0.00046,-5.12406747e-23,2.58169708e+02
0.000465,-5.43544412e-23,2.57846436e+02
0.00047,-5.74682077e-23,2.57523163e+02
0.000475,-6.05819616e-23,2.57199890e+02
0.00048,-6.36957281e-23,2.56876617e+02
0.000485,-6.68094947e-23,2.56553314e+02
0.00049,-6.99232675e-23,2.56230042e+02
0.000495,-7.30370151e-23,2.55906784e+02
0.0005,-7.61507627e-23,2.55583496e+02
0.000505,-8.00381556e-23,2.55266388e+02
0.00051,-8.39255170e-23,2.54949265e+02
0.000515,-8.78128721e-23,2.54632156e+02
0.00052,-9.17002776e-23,2.54315033e+02
0.000525,-9.55876327e-23,2.53997925e+02
0.00053,-9.94749878e-23,2.53680817e+02
0.000535,-1.03362393e-22,2.53363693e+02
0.00054,-1.07249755e-22,2.53046585e+02
0.000545,-1.11137110e-22,2.52729462e+02
0.00055,-1.15024515e-22,2.52412354e+02
0.000555,-1.19604326e-22,2.52100342e+02
0.00056,-1.24184213e-22,2.51788330e+02
0.000565,-1.28764024e-22,2.51476334e+02
0.00057,-1.33343847e-22,2.51164337e+02
0.000575,-1.37923721e-22,2.50852325e+02
0.00058,-1.42503545e-22,2.50540314e+02
0.000585,-1.47083368e-22,2.50228317e+02
0.00059,-1.51663242e-22,2.49916306e+02
0.000595,-1.56243066e-22,2.49604309e+02
0.0006,-1.60822889e-22,2.49292297e+02
0.000605,-1.66099245e-22,2.48984268e+02
0.00061,-1.71375551e-22,2.48676254e+02
0.000615,-1.76651857e-22,2.48368225e+02
0.00062,-1.81928213e-22,2.48060196e+02
0.000625,-1.87204518e-22,2.47752167e+02
0.00063,-1.92480824e-22,2.47444153e+02
0.000635,-1.97757193e-22,2.47136124e+02
0.00064,-2.03033498e-22,2.46828094e+02
0.000645,-2.08309791e-22,2.46520081e+02
0.00065,-2.13586173e-22,2.46212051e+02
0.000655,-2.19677365e-22,2.45906921e+02
0.00066,-2.25768558e-22,2.45601807e+02
0.000665,-2.31859826e-22,2.45296677e+02
0.00067,-2.37951044e-22,2.44991547e+02
0.000675,-2.44042237e-22,2.44686432e+02
0.00068,-2.50133505e-22,2.44381302e+02
0.000685,-2.56224723e-22,2.44076172e+02
0.00069,-2.62315916e-22,2.43771057e+02
0.000695,-2.68407184e-22,2.43465927e+02
0.0007,-2.74498402e-22,2.43160812e+02
0.000705,-2.81657245e-22,2.42857727e+02
0.00071,-2.88816013e-22,2.42554642e+02
0.000715,-2.95974806e-22,2.42251572e+02
0.00072,-3.03133649e-22,2.41948486e+02
0.000725,-3.10292442e-22,2.41645401e+02
0.00073,-3.17451209e-22,2.41342331e+02
0.000735,-3.24610053e-22,2.41039246e+02
0.00074,-3.31768845e-22,2.40736176e+02
0.000745,-3.38927613e-22,2.40433090e+02
0.00075,-3.46086481e-22,2.40130005e+02
0.000755,-3.54743252e-22,2.39828323e+02
0.00076,-3.63400047e-22,2.39526642e+02
0.000765,-3.72056944e-22,2.39224945e+02
